ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,counter
time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string],count
1628411543,CMPUld2mNXDLxDFkZ7,db80::b56e:e9aa:44f3:43dc,52034,db80::64f:4cff:fe21:766f,53,udp,dns,0.016583,55,71,SF,-,-,0,Dd,1,103,1,119,-,302
1628411543,CM18JM1gXhWokYCCLf,db80::b56e:e9aa:44f3:43dc,52839,db80::64f:4cff:fe21:766f,53,udp,dns,0.018713,55,128,SF,-,-,0,Dd,1,103,1,176,-,303
1628411493,CC1YAm1UyFSbxnYyyg,192.168.1.178,41679,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,213,0,0,-,169
1628411493,C20oUpzaqMnqQDZTk,db80::46d9:e7ff:fef9:de2c,59018,ff02::1,10001,udp,-,-,-,-,S0,-,-,0,D,1,233,0,0,-,169
1628411545,CrMz382ibBomQM62cj,db80::b56e:e9aa:44f3:43dc,64249,db80::64f:4cff:fe21:766f,53,udp,dns,0.066519,48,157,SF,-,-,0,Dd,1,96,1,205,-,304
1628411545,CXkGcD28BQR6bkYp7,db80::b56e:e9aa:44f3:43dc,63892,db80::64f:4cff:fe21:766f,53,udp,dns,0.018072,48,202,SF,-,-,0,Dd,1,96,1,250,-,305
1628411545,CnnB8G2eviZ8YOvrQ9,192.168.1.123,64249,192.168.1.1,53,udp,dns,0.027447,48,157,SF,-,-,0,Dd,1,76,1,185,-,54
1628411545,C75BBI3V32AkdSNYZc,db80::b56e:e9aa:44f3:43dc,61375,db80::64f:4cff:fe21:766f,53,udp,dns,0.019412,38,145,SF,-,-,0,Dd,1,86,1,193,-,306
1628411545,C8Qb5c21DwywpT28O7,db80::b56e:e9aa:44f3:43dc,55236,db80::64f:4cff:fe21:766f,53,udp,dns,0.019173,38,305,SF,-,-,0,Dd,1,86,1,353,-,307
1628411495,C39KO72mrQqUxFPu6j,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,135,2a03:ec00:b17a:fa7d:64f:4cff:fe21:766f,136,icmp,-,0.003621,24,16,OTH,-,-,0,-,1,72,1,64,-,6
1628411495,Cyo6ic4PddzvGvpapl,fd04:4f4c:2176:6f00:5cfb:15f:59d:70ae,135,fd04:4f4c:2176:6f00::1,136,icmp,-,0.003651,24,16,OTH,-,-,0,-,1,72,1,64,-,6
1628411545,CaGuDX3aa9G4bKzMii,192.168.1.123,64468,52.114.128.70,443,tcp,ssl,6.054922,4781,7209,RSTO,-,-,0,ShADdaR,16,5433,13,7741,-,1
1628411549,CNJVqJhgZj72llXEj,192.168.1.123,5353,224.0.0.251,5353,udp,dns,0.013525,484,0,S0,-,-,0,D,4,596,0,0,-,16
1628411549,CFgu5i7aSoSreKsE5,db80::b56e:e9aa:44f3:43dc,5353,ff02::fb,5353,udp,dns,0.011583,484,0,S0,-,-,0,D,4,676,0,0,-,16
1628411549,CiN21n6mKPRkFU2S1,db80::b56e:e9aa:44f3:43dc,62413,ff02::1:3,5355,udp,dns,-,-,-,S0,-,-,0,D,1,74,0,0,-,5
1628411549,CYNO1Q2ctNeAsyIH51,192.168.1.123,62413,224.0.0.252,5355,udp,dns,-,-,-,S0,-,-,0,D,1,54,0,0,-,5
1628411549,Cwpxs22GK2odPOVhLa,db80::b56e:e9aa:44f3:43dc,51148,ff02::1:3,5355,udp,dns,-,-,-,S0,-,-,0,D,1,74,0,0,-,6
1628411549,CoCA7e4bAMS14ueVs9,192.168.1.123,51148,224.0.0.252,5355,udp,dns,-,-,-,S0,-,-,0,D,1,54,0,0,-,6
1628411411,Cdxwxk4OQyC9jHFq5,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,52474,2a00:1450:400f:5::c,443,udp,-,89.904204,65949,15665928,SF,-,-,0,Dd,1435,134829,11847,16234584,-,1
1628411502,CAo4oKt0MpAnYe3N7,192.168.1.98,5678,255.255.255.255,5678,udp,-,-,-,-,S0,-,-,0,D,1,102,0,0,-,23
1628411503,CflaU9GNbRMucqln,192.168.1.177,47485,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,189,0,0,-,169
1628411503,CVTyRlEgMFeo5NOwg,192.168.1.178,60779,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,213,0,0,-,170
1628411503,CKMqEnWca5MHNBNm3,db80::46d9:e7ff:fef9:de2c,49191,ff02::1,10001,udp,-,-,-,-,S0,-,-,0,D,1,233,0,0,-,170
1628411554,CTIP1h1SE6at1sARtl,192.168.1.176,5353,224.0.0.251,5353,udp,dns,-,-,-,S0,-,-,0,D,1,122,0,0,-,80
1628411554,Cvfume3wWONCmp6IVa,192.168.1.180,5353,224.0.0.251,5353,udp,dns,-,-,-,S0,-,-,0,D,3,1347,0,0,-,79
1628411506,CsQZFZQIhMgbRHaY9,192.168.1.123,58306,239.255.255.250,1900,udp,-,3.026325,676,0,S0,-,-,0,D,4,788,0,0,-,30
1628411561,C4Kyua4AmDLj0v38g2,db80::b56e:e9aa:44f3:43dc,62317,db80::64f:4cff:fe21:766f,53,udp,dns,0.037313,29,189,SF,-,-,0,Dd,1,77,1,237,-,308
1628411513,CcNZGP1TYrXygqzkA3,192.168.1.177,57158,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,189,0,0,-,170
1628411513,CUqlcc3k4hcZR532G7,192.168.1.178,40698,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,213,0,0,-,171
1628411513,CLLixI37h08ibQHE9j,db80::46d9:e7ff:fef9:de2c,56667,ff02::1,10001,udp,-,-,-,-,S0,-,-,0,D,1,233,0,0,-,171
1628411565,CwZIyi3hvIZiuSt2m4,192.168.1.123,5353,224.0.0.251,5353,udp,dns,-,-,-,S0,-,-,0,D,1,73,0,0,-,17
1628411565,CbT66B4rjDvUfDVIAd,db80::b56e:e9aa:44f3:43dc,5353,ff02::fb,5353,udp,dns,0.00349,270,0,S0,-,-,0,D,6,558,0,0,-,17
1628411565,C88BjOhC2qVdgyiGg,db80::b56e:e9aa:44f3:43dc,53053,db80::64f:4cff:fe21:766f,53,udp,dns,0.032007,35,87,SF,-,-,0,Dd,1,83,1,135,-,309
1628411332,Co3fr82A2xi7klb2Xi,192.168.1.123,53217,143.204.42.39,443,tcp,ssl,240.152365,2009,8465,SF,-,-,0,ShADadTFRf,18,2746,24,9497,-,1
1628411523,CVMnvc27Bm1eQmh2Lc,192.168.1.177,42576,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,189,0,0,-,171
